file_name,version_number,relative_path
title_mgs2_alp_ovl.bmp,1.2.0,_win/
ibox_all4.bmp,1.2.0,_win/
008ae623_fad237f35f44f84013d072b01d34bfc0,1.2.0,_win/
008ae623,1.2.0,_win/
w22a1h_box01.bmp,1.2.0,_win/
glock.bmp,1.2.0,_win/
case_dr.bmp,1.2.0,_win/
w01a0_box002.bmp,1.2.0,_win/
w01a0_box00.bmp_13697023b3215bf4b8c06859020cd441,1.2.0,_win/
w01a0_box00.bmp,1.2.0,_win/

pausemenu_arrow_l,1.4.0,_win/
pausemenu_arrow_r,1.4.0,_win/
pausemenu_head_line,1.4.0,_win/
pausemenu_head_subitem,1.4.0,_win/
pausemenu_icon_mute,1.4.0,_win/
pausemenu_icon_volume,1.4.0,_win/
pausemenu_volume_00,1.4.0,_win/
pausemenu_volume_01,1.4.0,_win/
pausemenu_volume_cursor,1.4.0,_win/
volume_setting_01,1.4.0,_win/
m92_laserpoint_f1.bmp,1.4.0,_win/

pausemenu_arrow_l,1.5.0,_win/
pausemenu_arrow_r,1.5.0,_win/
pausemenu_head_line,1.5.0,_win/
pausemenu_head_subitem,1.5.0,_win/
pausemenu_icon_mute,1.5.0,_win/
pausemenu_icon_volume,1.5.0,_win/
pausemenu_volume_00,1.5.0,_win/
pausemenu_volume_01,1.5.0,_win/
pausemenu_volume_cursor,1.5.0,_win/
pausemenu_btn_00,1.5.0,_win/
pausemenu_btn_01,1.5.0,_win/
pausemenu_dialog_00,1.5.0,_win/
pausemenu_line_00,1.5.0,_win/
00100d1b,1.5.0,ovr_stm/ctrltype_ps4/ovr_eu/_win/
0030f164,1.5.0,ovr_stm/ctrltype_ps4/ovr_eu/_win/
0038f08e,1.5.0,ovr_stm/ctrltype_ps4/ovr_eu/_win/
009fa21b,1.5.0,ovr_stm/ctrltype_ps4/ovr_eu/_win/
00aeebfc,1.5.0,ovr_stm/ctrltype_ps4/ovr_eu/_win/
00be80b9,1.5.0,ovr_stm/ctrltype_ps4/ovr_eu/_win/
00c5a3fd,1.5.0,ovr_stm/ctrltype_ps4/ovr_eu/_win/
00100d1b,1.5.0,ovr_stm/ctrltype_ps5/ovr_eu/_win/
0030f164,1.5.0,ovr_stm/ctrltype_ps5/ovr_eu/_win/
0038f08e,1.5.0,ovr_stm/ctrltype_ps5/ovr_eu/_win/
009fa21b,1.5.0,ovr_stm/ctrltype_ps5/ovr_eu/_win/
00aeebfc,1.5.0,ovr_stm/ctrltype_ps5/ovr_eu/_win/
00be80b9,1.5.0,ovr_stm/ctrltype_ps5/ovr_eu/_win/
00c5a3fd,1.5.0,ovr_stm/ctrltype_ps5/ovr_eu/_win/


loading_4k,2.0.0,Misc/loading/_win/
loading_fhd,2.0.0,Misc/loading/_win/
loading_jp_4k,2.0.0,Misc/loading/_win/
loading_jp_fhd,2.0.0,Misc/loading/_win/
loading_jp_wqhd,2.0.0,Misc/loading/_win/
loading_wqhd,2.0.0,Misc/loading/_win/
bluepoint_4k,2.0.0,Misc/splashscreen/_win/
bluepoint_fhd,2.0.0,Misc/splashscreen/_win/
bluepoint_wqhd,2.0.0,Misc/splashscreen/_win/
kojima_4k,2.0.0,Misc/splashscreen/_win/
kojima_fhd,2.0.0,Misc/splashscreen/_win/
kojima_wqhd,2.0.0,Misc/splashscreen/_win/
konami_4k,2.0.0,Misc/splashscreen/_win/
