0009bc34_b930b4499997afc4e26e408ea169f9c7 | missing from MC CSV
0076fe1a | missing from MC CSV
0077fe1a | missing from MC CSV
00a12eaf | missing from MC CSV
00c12eaf | missing from MC CSV
00f65e24 | missing from MC CSV
00fb5e0d_a4c6847d4b922f6cd44f7d23a8727f2c | missing from MC CSV
act_telop02_jp_alp_ovl.bmp | missing from MC CSV
act_telop03_jp_alp_ovl.bmp | missing from MC CSV
act_telop04_jp_alp_ovl.bmp | missing from MC CSV
act_telop05_jp_alp_ovl.bmp | missing from MC CSV
act_telop06_jp_alp_ovl.bmp | missing from MC CSV
act_telop08_jp_alp_ovl.bmp | missing from MC CSV
act_telop09_jp_alp_ovl.bmp | missing from MC CSV
act_telop10_jp_alp_ovl.bmp | missing from MC CSV
act_telop11_jp_alp_ovl.bmp | missing from MC CSV
act_telop5_alp_ovl.bmp | missing from MC CSV
fiction_j_alp_ovl.bmp | missing from MC CSV
loading | missing from both CSVs
loading_4k | missing from both CSVs
loading_fhd | missing from both CSVs
loading_jp | missing from both CSVs
loading_jp_4k | missing from both CSVs
loading_jp_fhd | missing from both CSVs
loading_jp_wqhd | missing from both CSVs
loading_wqhd | missing from both CSVs
logo_konami.bmp | missing from MC CSV
pkg1_eng_alp_ovl.bmp | missing from MC CSV
pkg2_eng_alp_ovl.bmp | missing from MC CSV
sce_cesa_attention.bmp | missing from MC CSV
