tri_name,region_folder,stage,tri_strcode
003768ae,us,mselect,3768ae
00376d35,eu,mselect,376d35
00377134,eu,mselect,377134
0037a0f5,eu,mselect,37a0f5
0054becb,eu,n_title,54becb
0054bef9,eu,n_title,54bef9
0054bf18,eu,n_title,54bf18
0054bf7a,eu,n_title,54bf7a
00646870,eu,mselect,646870
00a692f5,us,mselect,a692f5
00a692f5,us,mselect,fa6609
00a6977c,eu,mselect,a6977c
00a6cb3c,eu,mselect,a6cb3c
2d_tex,us,a00a,715d80
2d_tex,us,ta00a,715d80
2d_tex,us,w00a,715d80
2d_tex_stage_a00b,us,a00b,715d80
2d_tex_stage_a00b,us,w00b,715d80
2d_tex_stage_a00c,us,a00c,715d80
2d_tex_stage_a00c,us,w00c,715d80
2d_tex_stage_a01a,us,a01a,715d80
2d_tex_stage_a01a,us,ta01a,715d80
2d_tex_stage_a01a,us,w01a,715d80
2d_tex_stage_a01b,us,a01b,715d80
2d_tex_stage_a01b,us,ta01b,715d80
2d_tex_stage_a01b,us,w01b,715d80
2d_tex_stage_a01c,us,a01c,715d80
2d_tex_stage_a01c,us,ta01c,715d80
2d_tex_stage_a01c,us,w01c,715d80
2d_tex_stage_a01d,us,a01d,715d80
2d_tex_stage_a01d,us,ta01d,715d80
2d_tex_stage_a01d,us,w01d,715d80
2d_tex_stage_a01e,us,a01e,715d80
2d_tex_stage_a01e,us,ta01e,715d80
2d_tex_stage_a01e,us,w01e,715d80
2d_tex_stage_a01f,us,a01f,715d80
2d_tex_stage_a01f,us,ta01f,715d80
2d_tex_stage_a01f,us,w01f,715d80
2d_tex_stage_a02a,us,a02a,715d80
2d_tex_stage_a02a,us,a02b,715d80
2d_tex_stage_a02a,us,ta02a,715d80
2d_tex_stage_a02a,us,w02a,715d80
2d_tex_stage_a03a,us,a03a,715d80
2d_tex_stage_a03a,us,w03a,715d80
2d_tex_stage_a03b,us,a03b,715d80
2d_tex_stage_a03b,us,w03b,715d80
2d_tex_stage_a12a,us,a12a,715d80
2d_tex_stage_a12a,us,ta12a,715d80
2d_tex_stage_a12a,us,w12a,715d80
2d_tex_stage_a12a,us,w12c,715d80
2d_tex_stage_a12b,us,a12b,715d80
2d_tex_stage_a12b,us,w12b,715d80
2d_tex_stage_a13a,us,a13a,715d80
2d_tex_stage_a13a,us,a13b,715d80
2d_tex_stage_a13a,us,a13c,715d80
2d_tex_stage_a13a,us,w13a,715d80
2d_tex_stage_a13a,us,w13b,715d80
2d_tex_stage_a14a,us,a14a,715d80
2d_tex_stage_a14a,us,a14b,715d80
2d_tex_stage_a14a,us,w14a,715d80
2d_tex_stage_a15a,us,a15a,715d80
2d_tex_stage_a15a,us,a15b,715d80
2d_tex_stage_a15a,us,w15a,715d80
2d_tex_stage_a15a,us,w15b,715d80
2d_tex_stage_a16a,us,a16a,715d80
2d_tex_stage_a16a,us,w16a,715d80
2d_tex_stage_a16a,us,w16b,715d80
2d_tex_stage_a17a,us,a17a,715d80
2d_tex_stage_a17a,us,w17a,715d80
2d_tex_stage_a18a,us,a18a,715d80
2d_tex_stage_a18a,us,w18a,715d80
2d_tex_stage_a19a,us,a19a,715d80
2d_tex_stage_a19a,us,w19a,715d80
2d_tex_stage_a20a,us,a20a,715d80
2d_tex_stage_a20a,us,a20e,715d80
2d_tex_stage_a20a,us,ta20a,715d80
2d_tex_stage_a20a,us,w20a,715d80
2d_tex_stage_a20b,us,a20b,715d80
2d_tex_stage_a20b,us,a20c,715d80
2d_tex_stage_a20b,us,w20b,715d80
2d_tex_stage_a20b,us,w20c,715d80
2d_tex_stage_a20b,us,w20d,715d80
2d_tex_stage_a21a,us,a21a,715d80
2d_tex_stage_a21a,us,a21b,715d80
2d_tex_stage_a21a,us,w21a,715d80
2d_tex_stage_a21a,us,w21b,715d80
2d_tex_stage_a22a,us,a22a,715d80
2d_tex_stage_a22a,us,a22b,715d80
2d_tex_stage_a22a,us,ta22a,715d80
2d_tex_stage_a22a,us,w22a,715d80
2d_tex_stage_a23a,us,a23a,715d80
2d_tex_stage_a23a,us,a23b,715d80
2d_tex_stage_a23a,us,w23a,715d80
2d_tex_stage_a23a,us,w23b,715d80
2d_tex_stage_a24a,us,a24a,715d80
2d_tex_stage_a24a,us,ta24a,715d80
2d_tex_stage_a24a,us,w24a,715d80
2d_tex_stage_a24b,us,a24b,715d80
2d_tex_stage_a24b,us,w24b,715d80
2d_tex_stage_a24c,us,a24c,715d80
2d_tex_stage_a24c,us,a24f,715d80
2d_tex_stage_a24c,us,w24c,715d80
2d_tex_stage_a24c,us,w24e,715d80
2d_tex_stage_a24d,us,a24d,715d80
2d_tex_stage_a24d,us,a24g,715d80
2d_tex_stage_a24d,us,w24d,715d80
2d_tex_stage_a25a,us,a25a,715d80
2d_tex_stage_a25a,us,w25a,715d80
2d_tex_stage_a25d,us,a25d,715d80
2d_tex_stage_a25d,us,w25c,715d80
2d_tex_stage_a25d,us,w25d,715d80
2d_tex_stage_a28a,us,a28a,715d80
2d_tex_stage_a28a,us,w28a,715d80
2d_tex_stage_a31a,us,a31a,715d80
2d_tex_stage_a31a,us,ta31a,715d80
2d_tex_stage_a31a,us,w31a,715d80
2d_tex_stage_a31a,us,w31d,715d80
2d_tex_stage_a31b,us,a31b,715d80
2d_tex_stage_a31b,us,w31b,715d80
2d_tex_stage_a31c,us,a31c,715d80
2d_tex_stage_a31c,us,w31c,715d80
2d_tex_stage_a31c,us,w31f,715d80
2d_tex_stage_a41a,us,a41a,715d80
2d_tex_stage_a41a,us,a41b,715d80
2d_tex_stage_a41a,us,w41a,715d80
2d_tex_stage_a42a,us,a42a,715d80
2d_tex_stage_a42a,us,ta42a,715d80
2d_tex_stage_a42a,us,w42a,715d80
2d_tex_stage_a43a,us,a43a,715d80
2d_tex_stage_a45a,us,a45a,715d80
2d_tex_stage_a46a,us,a46a,715d80
2d_tex_stage_a46a,us,w46a,715d80
2d_tex_stage_a61a,us,a61a,715d80
2d_tex_stage_a61a,us,d080p08,715d80
2d_tex_stage_a61a,us,w61a,715d80
2d_tex_stage_d005p01,us,d005p01,715d80
2d_tex_stage_d005p01,us,d00t,715d80
2d_tex_stage_d005p01,us,d010p01,715d80
2d_tex_stage_d005p01,us,d012p01,715d80
2d_tex_stage_d005p01,us,d014p01,715d80
2d_tex_stage_d005p01,us,d01t,715d80
2d_tex_stage_d005p01,us,d021p01,715d80
2d_tex_stage_d005p01,us,d036p03,715d80
2d_tex_stage_d005p01,us,d036p05,715d80
2d_tex_stage_d005p01,us,d045p01,715d80
2d_tex_stage_d005p01,us,d046p01,715d80
2d_tex_stage_d005p01,us,d04t,715d80
2d_tex_stage_d005p01,us,d053p01,715d80
2d_tex_stage_d005p01,us,d055p01,715d80
2d_tex_stage_d005p01,us,d05t,715d80
2d_tex_stage_d005p01,us,d063p01,715d80
2d_tex_stage_d005p01,us,d065p02,715d80
2d_tex_stage_d005p01,us,d070p09,715d80
2d_tex_stage_d005p01,us,d070px9,715d80
2d_tex_stage_d005p01,us,d078p01,715d80
2d_tex_stage_d005p01,us,d080p01,715d80
2d_tex_stage_d005p01,us,d080p07,715d80
2d_tex_stage_d005p01,us,d082p01,715d80
2d_tex_stage_d005p01,us,d10t,715d80
2d_tex_stage_d005p01,us,d11t,715d80
2d_tex_stage_d005p01,us,d12t,715d80
2d_tex_stage_d005p01,us,d12t3,715d80
2d_tex_stage_d005p01,us,d12t4,715d80
2d_tex_stage_d005p01,us,d13t,715d80
2d_tex_stage_d005p01,us,d14t,715d80
2d_tex_stage_d005p01,us,sp01a,715d80
