pcsx2_dumped_crc32,pcxs2_normalized_png_crc32,pcsx2_alpha_stripped_crc32
00055341,977bbc9b,841e6d00
000601e2,8d2846df,64485b39
0011c4b4,38c7bd65,a8d7fd06
00181e60,efa79d5b,540ed8c6
001cd4f5,48b09e9f,033cb220
001fa1a6,850f5c9b,82f8c279
002553b5,2cd7b4e1,20f7ac42
0026ae1e,018ea89f,4c1f3876
002b2fe3,1d19363b,687e6a18
002e0bcc,94faafc1,da1fc145
002fa0aa,3d003ab1,b417a324
0048cf63,9d31041b,36390eb9
004d3e7a,4e8ec17d,00000000
004e53d3,b4641e9c,f7c8ed6d
00554de1,a396bcb6,a689e95d
00557eb4,c713338b,1b09c01d
0058b365,98a47aed,c0b345bd
0063c262,aef08dd9,96d4f4b2
006a4c10,28612921,5f4189aa
006c4f85,88f7834d,163b97a2
00706af3,a8c77ede,be1782b8
0076f0ce,8ffb7841,00000000
008298e5,80c54314,c05092f8
00854759,095cbe12,6531c1f0
0096e053,894223c8,ff726648
00980393,cbbc5110,2ccedc85
009805d9,723e7caa,ea0f7bf1
009884f6,2b8f1607,b0fe53e8
00a03135,0d7f9f47,03b5acc3
00a073cf,0fc5aa3f,6262b8a8
00a26538,d6f5cdd0,a7e3c2c4
00ae9328,98d50920,45ce921e
00b3cfed,8f743968,f1f5459d
00b6e87a,6c0f50d4,998d1422
00b8aa21,2b1257ea,dab109cf
00b9646c,73154ad3,00000000
00c32d1d,a6b710bb,6dabf5ed
00c3a396,68bf7695,8a41264e
00c4857e,a994f338,2c750d6b
00c96205,4cd62505,c0a45f1d
00d02fc7,e2169173,22fe343d
00d37888,5fd857df,71c7cb6d
00d41927,7c836fd4,f85ce8c0
00d908ff,e76fe09c,44cca0f0
00d99b00,bc8fa458,0be82294
00df8375,76c550c9,00000000
00e70d0a,5abec5a0,d78419dc
00f36746,7bd82fc9,d3a6da05
00f4acaa,1bf4624a,17879a2d
01043dd0,004c4851,c9511b8f
010632b0,34723a9c,4a573796
010d14e2,4360385f,48e21ba6
0114c0df,cb34d4f5,a8b91879
0118b500,ca520392,08e9869d
0123584e,2d6cb9bd,b748764d
0123e8c8,b2ec35b5,7eaa985d
012d6ce1,2fd7ba75,9c123748
01320487,a7ad5be9,00000000
013580b9,a61142f9,43fdef34
013957a9,13145992,00000000
0141c5fc,7a691581,159cff77
014a1bf1,c574cd81,07e850ff
014c6211,0d26a126,7b93285e
014e0717,c92927b3,e10e87af
01521df1,95827d3b,a5d84896
015a3d9e,5c7928ca,2a24fa91
015b2c54,48f953c4,94194f35
0161fca9,89ec8f5b,00000000
0165e835,71dccd9d,44635ba0
016dd060,fe375531,4ea772ed
01748071,079b994c,157af0bf
01768652,016e23ad,b9379590
0179a9a7,4f271ff7,0be730a9
017a1911,a5d3907f,00000000
017b576c,9a329b84,e515b521
0187606a,010fbe9a,96be05f3
018aae88,a5190b5f,00000000
018f60d4,4bd0de20,b1dbd66e
019a2440,d0be98d5,db6b1ad1
01abcca9,083093ef,f79628e2
01b6a307,c4373adb,ad2e4fad
01b71e66,1ab1a021,3fa16d8a
01b9571c,c386b6b5,2c34ef92
01bb6068,95876869,c2e07cb0
01bf744f,477f9cf6,2543908c
01c674ec,30b45d1b,818a5c0d
01cda9b8,9bac509c,c2548f5c
01cf6f6f,3b09069a,3f0bb208
01d356bd,81bf6413,6248f25f
01d61182,7925c54c,00000000
01dd6871,a89da3ad,8837de3f
01e0ef33,3dcfa384,00000000
01e17ddb,d98c8d92,27215731
01ea2d24,d55d2b85,aff548c0
01eafd92,7b8f0de1,3293a410
01ecd5d9,e028fa41,41474b81
01f5812d,b7c3ef13,20d79db9
01f706d4,11ad2715,9b5b0f7d
01fd6262,01b66584,63766167
0200a9d0,f69e26d5,916eb4f0
020354cc,f70b0911,4af69ec3
02052e9d,bd47e361,092315c8
020570ae,5630ebdd,f7bda2ca
020969d6,ebe5451b,fd03d229
020bb8aa,042f77e1,659ce41d
020d40b1,4de1c093,67649fa3
020f600e,779ffcf3,69ed213d
0210c3aa,f2254266,719b13d2
02120166,cbace447,743e212b
021b60e2,d9ebdb0d,db19bd48
021c9fcf,577c0950,47b0ac52
021cd412,a3d50831,bb8840e1
02214789,b6aa47f6,da21881a
022a53eb,f18b7755,0252dd68
022b1e92,8676386c,00000000
022f3983,3594bf84,a4a71c6e
0237d08c,17ca965f,b3d718f5
0238ad08,eb9b9b97,b0bb9195
0249aa36,e1f65e8b,66340675
024c442a,507ccccd,3b0f8ab4
024fe652,2aaa0117,00000000
02540d30,f53de286,fdac1a9a
0259df5b,33e7a8a1,00000000
025b2d90,7283fe22,00000000
025c30f1,01e9f8da,33001259
0263b5c2,3812673f,7126fe13
02775334,9ceae831,0a84e668
02798471,1b4cf50e,e67e1bc1
027c0d57,e1c93460,14b9481b
027e9e8e,a3fe55d9,acba397c
