texture_name,stage,tri_strcode,texture_strcode
00002016,r_vr_1,938922,002016
00004ad1,node,9a23d5,004ad1
0000c4dd,mselect,69cd60,00c4dd
0000c4dd_d0bf2476e36b7e6db64e892154845abf,n_title,907874,00c4dd
0000f06e,mselect,b975d2,00f06e
00012016,r_vr_1,938922,012016
00022016,r_vr_1,938922,022016
00024ad1,node,9a23d5,024ad1
00032016,r_vr_1,938922,032016
000385a3,a00a,fc06e8,0385a3
0003c3de_59747dd0818a4f3d78cd7938115b9093,r_rai_b,927bc4,03c3de
00042016,r_vr_1,938922,042016
000430f2,mselect,b975d2,0430f2
00052016,r_vr_1,938922,052016
00062016,r_vr_1,938922,062016
00072016,r_vr_1,938922,072016
00082016,r_vr_1,938922,082016
00085d1e,a00a,fc06e8,085d1e
000897ee,ending,f28a1b,0897ee
00096be0,mselect,5ca951,096be0
0009eb6f,ending,8ea3f5,09eb6f
0009f56f,a00a,fc06e8,09f56f
000a8fc0,a00a,fc06e8,0a8fc0
000b7011,mselect,b975d2,0b7011
000c59bf,mselect,b975d2,0c59bf
000ccd6b,n_title,907874,0ccd6b
000e1a61,mselect,b975d2,0e1a61
000ebe38,w41a,a34d21,0ebe38
000f0073,mselect,b975d2,0f0073
000fe672,n_title,ac396b,0fe672
000fe6f2,n_title,ac396b,0fe6f2
000fe772,n_title,ac396b,0fe772
00100d1b,mselect,a692f5,100d1b
0012e9ed,mselect,69cd60,12e9ed
0013486e,mselect,5ca951,13486e
001463f1,n_title,6bcbb0,1463f1
0014b79b,mselect,646870,14b79b
0014c79b,mselect,646870,14c79b
00158927,a00a,fc06e8,158927
0015d707,n_title,907874,15d707
0015d707_cd82fa959c0f81d19f22c0b0fdf8d230,r_rai_b,907874,15d707
001a8739,n_title,907874,1a8739
001bb358,n_title,8050cb,1bb358
001f2016,r_vr_1,938922,1f2016
00202016,r_vr_1,938922,202016
00207af5,a00a,f4812e,207af5
0020c7c1,n_title,907874,20c7c1
00212016,r_vr_1,938922,212016
00222016,r_vr_1,938922,222016
00232016,r_vr_1,938922,232016
00242016,r_vr_1,938922,242016
002515dc,r_vr_1,938922,2515dc
00252016,r_vr_1,938922,252016
00253181,n_title,6bcbb0,253181
00262016,r_vr_1,938922,262016
0026f2fc,n_title,14de14,26f2fc
00272016,r_vr_1,938922,272016
00273921,mselect,5cf069,273921
002be6b0,mselect,5ca951,2be6b0
002c9415,mselect,b975d2,2c9415
002ca269,mselect,b975d2,2ca269
002ca269_3ad823d6b15d2e0656bc022f9ae4d1ed,n_title,907874,2ca269
002ceb42,n_title,6bcbb0,2ceb42
002db10a,n_title,54bef9,2db10a
002e8486,a00a,f4812e,2e8486
002eb6f9,sselect,96b0f2,2eb6f9
002ee672,n_title,ac396b,2ee672
002ee6f2,n_title,ac396b,2ee6f2
002ee772,n_title,ac396b,2ee772
002f0bd0,node,9a23d5,2f0bd0
002f1bd0,node,9a23d5,2f1bd0
002f2bd0,node,9a23d5,2f2bd0
002f3bd0,node,9a23d5,2f3bd0
002f4bd0,node,9a23d5,2f4bd0
002f5bd0,node,9a23d5,2f5bd0
002f6bd0,node,9a23d5,2f6bd0
002f7bd0,node,9a23d5,2f7bd0
002f8bd0,node,9a23d5,2f8bd0
002fc581,tales,2b2372,2fc581
00304ad1,node,9a23d5,304ad1
00304bad,mselect,fa6609,304bad
00304bdd,ending,f28a1b,304bdd
0030e529,a00a,fc06e8,30e529
0030f164,n_title,6bcbb0,30f164
0030fbd0,node,9a23d5,30fbd0
00310ae2,n_title,907874,310ae2
00310bd0,node,9a23d5,310bd0
00311bd0,node,9a23d5,311bd0
00312bd0,node,9a23d5,312bd0
00313bd0,node,9a23d5,313bd0
00314bd0,node,9a23d5,314bd0
00314bdb,ending,f28a1b,314bdb
00315bd0,node,9a23d5,315bd0
00316bd0,node,9a23d5,316bd0
00317bd0,node,9a23d5,317bd0
00318bd0,node,9a23d5,318bd0
00324ad1,node,9a23d5,324ad1
0032fbd0,node,9a23d5,32fbd0
00330bd0,node,9a23d5,330bd0
00331bd0,node,9a23d5,331bd0
00332bd0,node,9a23d5,332bd0
00333bd0,node,9a23d5,333bd0
00334bd0,node,9a23d5,334bd0
00335bd0,node,9a23d5,335bd0
00336bd0,node,9a23d5,336bd0
00337bd0,node,9a23d5,337bd0
00338bd0,node,9a23d5,338bd0
00344ad1,node,9a23d5,344ad1
0034fbd0,node,9a23d5,34fbd0
00350bd0,node,9a23d5,350bd0
00351bd0,node,9a23d5,351bd0
00352bd0,node,9a23d5,352bd0
00353bd0,node,9a23d5,353bd0
00354bd0,node,9a23d5,354bd0
00355bd0,node,9a23d5,355bd0
00356bd0,node,9a23d5,356bd0
00357bd0,node,9a23d5,357bd0
00358bd0,node,9a23d5,358bd0
00364ad1,node,9a23d5,364ad1
0036ea81,n_title,6bcbb0,36ea81
0036fbd0,node,9a23d5,36fbd0
00370bd0,node,9a23d5,370bd0
00371bd0,node,9a23d5,371bd0
00372bd0,node,9a23d5,372bd0
00373bd0,node,9a23d5,373bd0
00374bd0,node,9a23d5,374bd0
0037502a,mselect,b975d2,37502a
0037513a,mselect,b975d2,37513a
00375bd0,node,9a23d5,375bd0
00376bd0,node,9a23d5,376bd0
00380922,a00a,42470c,380922
00384ad1,node,9a23d5,384ad1
003997fd,a00a,000f32,3997fd
003997fd_58fcdefef3f7eda79d7e4a9f65f040ed,a00a,fc06e8,3997fd
0039af8a,mselect,69cd60,39af8a
003a4ad1,node,9a23d5,3a4ad1
003aa501,mselect,b975d2,3aa501
003c4ad1,node,9a23d5,3c4ad1
003e4ad1,node,9a23d5,3e4ad1
00404ad1,node,9a23d5,404ad1
00424ad1,node,9a23d5,424ad1
00427069,r_vr_1,938922,427069
00445c5a,mselect,69cd60,445c5a
00470ccd,n_title,ac396b,470ccd
