texture_name,tri_dumped_png_converted_sha1
00002016,3a621e715d19c0559d3be23ed2f36ca2bec5792e
00004ad1,24b41c2c2183eba943ad038712283fbee774a5d4
000062b9,f2d2ee7eec60e35d9b3d59d022055daa6c81c05c
00006739,4ddfb9fb6738a3b5c645f262d108812791e53b82
0000c4dd,d96957b74c013914b1b5d006428d5174fb09e270
0000c4dd_d0bf2476e36b7e6db64e892154845abf,ecf281e61749243bbda5c04428a4eb82a01c288b
0000f06e,3c101dceb92b055d61a279fcbc374b75c12f8efd
00012016,e605dc4145c47caaa3570928322789fd8d20fbdf
00022016,bfeca42900f62d175dc2b2bfde2a8f48afdb0247
00024ad1,59f82983a92f17820f7ba261f5808f60c33b60d0
0002936b,402db28faee65b71b691fca0b37465f1c30322e4
0002cca2,a0748d6dd2db93b0d3ab1e90d1070f928379de4d
00032016,95300ca014b128351a77d7cfc59455dcf4e102b9
000382c8,59775bc6067835faa888e96c52d92c79926388f5
000385a3,bdeb9bcd311c8497ca4581ea024fcb7add01e7da
0003c3de,947901f56c0c9632a69947713bc55568d4b5671a
0003c3de_59747dd0818a4f3d78cd7938115b9093,4e03452d3d2e60229c0e7ffbdf405770f84bab7b
00042016,3f688de9441c3bae693b85f38733e06fd6e2a5ba
000430f2,e6a9d90fa473637f9f373782e41c99a74c0b6ab8
00052016,a64a758511aea2bdc3af7e555fdad8c9cede4069
00058f79,928fa832682843f459ab36cb11f0677b774d92b2
00062016,9592dfc64b12220c3bd001f0e897657359f97a4e
00065bbe,62664c109f7e08e177d705190e32e6a4536444f2
00068f79,e30246b14a5aa8854e6fbe297d71ea95d1fc8b17
00072016,cd68e04d3431a86be36eba4a0ae43ac1916e8ec5
00075bbe,6b678a235f109578a30aeb4245b2919b020df112
00078f79,110dd3b1c4180d345576bd2a4a45534f19700522
0007bc34,e207df93a3344256debead64272d03f0cf69c014
00082016,664d61b35ed6ba539e95b9b1404d1c1c9f565809
00085bbe,48148d80e5fcd1fb8a46be111f2e80e5b5cd332c
00085d1e,390c837351eed38431bd0e1c4e648d0074fbbbcd
000897ee,e9eccb9d5fe049b56c0505349d97002102e70843
