BP Comparison Log - 2025-10-29 02:09:27
================================================================================

REMADE FILES
--------------------------------------------------------------------------------
[BP REMADE] 00004ad1.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 000062b9.tga | original: 32x32 | ceil_p^2: 32x32 | hdc/mc: 64x64
[BP REMADE] 00006739.tga | original: 32x32 | ceil_p^2: 32x32 | hdc/mc: 64x64
[BP REMADE] 0000c4dd.tga | original: 100x12 | ceil_p^2: 128x16 | hdc/mc: 200x24
[BP REMADE] 0000c4dd_d0bf2476e36b7e6db64e892154845abf.tga | original: 96x12 | ceil_p^2: 128x16 | hdc/mc: 192x24
[BP REMADE] 0000f06e.tga | original: 228x12 | ceil_p^2: 256x16 | hdc/mc: 456x24
[BP REMADE] 00012016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00022016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00024ad1.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 0002936b.tga | original: 128x16 | ceil_p^2: 128x16 | hdc/mc: 256x32
[BP REMADE] 0002cca2.tga | original: 108x24 | ceil_p^2: 128x32 | hdc/mc: 216x48
[BP REMADE] 00032016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 000382c8.tga | original: 112x10 | ceil_p^2: 128x16 | hdc/mc: 224x20
[BP REMADE] 000385a3.tga | original: 448x12 | ceil_p^2: 512x16 | hdc/mc: 896x24
[BP REMADE] 0003c3de.tga | original: 14x12 | ceil_p^2: 16x16 | hdc/mc: 28x24
[BP REMADE] 0003c3de_59747dd0818a4f3d78cd7938115b9093.tga | original: 16x12 | ceil_p^2: 16x16 | hdc/mc: 32x24
[BP REMADE] 00042016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 000430f2.tga | original: 72x48 | ceil_p^2: 128x64 | hdc/mc: 144x96
[BP REMADE] 00052016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00058f79.tga | original: 300x170 | ceil_p^2: 512x256 | hdc/mc: 600x340
[BP REMADE] 00062016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00065bbe.tga | original: 228x12 | ceil_p^2: 256x16 | hdc/mc: 456x24
[BP REMADE] 00068f79.tga | original: 224x174 | ceil_p^2: 256x256 | hdc/mc: 448x348
[BP REMADE] 00072016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00075bbe.tga | original: 190x12 | ceil_p^2: 256x16 | hdc/mc: 380x24
[BP REMADE] 00078f79.tga | original: 242x158 | ceil_p^2: 256x256 | hdc/mc: 484x316
[BP REMADE] 0007bc34.tga | original: 440x110 | ceil_p^2: 512x128 | hdc/mc: 1359x489
[BP REMADE] 00082016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00085bbe.tga | original: 220x12 | ceil_p^2: 256x16 | hdc/mc: 440x24
[BP REMADE] 00085d1e.tga | original: 56x12 | ceil_p^2: 64x16 | hdc/mc: 112x24
[BP REMADE] 000897ee.tga | original: 512x384 | ceil_p^2: 512x512 | hdc/mc: 1024x768
[BP REMADE] 0008bc34.tga | original: 308x12 | ceil_p^2: 512x16 | hdc/mc: 616x24
[BP REMADE] 00096be0.tga | original: 296x12 | ceil_p^2: 512x16 | hdc/mc: 592x24
[BP REMADE] 0009bc34.tga | original: 454x14 | ceil_p^2: 512x16 | hdc/mc: 908x28
[BP REMADE] 0009eb6f.tga | original: 112x10 | ceil_p^2: 128x16 | hdc/mc: 224x20
[BP REMADE] 0009f56f.tga | original: 352x108 | ceil_p^2: 512x128 | hdc/mc: 704x216
[BP REMADE] 0009f66f.tga | original: 48x16 | ceil_p^2: 64x16 | hdc/mc: 96x32
[BP REMADE] 000a8fc0.tga | original: 176x156 | ceil_p^2: 256x256 | hdc/mc: 352x312
[BP REMADE] 000aa7de.tga | original: 176x32 | ceil_p^2: 256x32 | hdc/mc: 352x64
[BP REMADE] 000b7011.tga | original: 228x12 | ceil_p^2: 256x16 | hdc/mc: 456x24
[BP REMADE] 000c59bf.tga | original: 100x48 | ceil_p^2: 128x64 | hdc/mc: 200x96
[BP REMADE] 000cc716.tga | original: 132x12 | ceil_p^2: 256x16 | hdc/mc: 264x24
[BP REMADE] 000ccd6b.tga | original: 396x12 | ceil_p^2: 512x16 | hdc/mc: 792x24
[BP REMADE] 000e1a61.tga | original: 296x12 | ceil_p^2: 512x16 | hdc/mc: 592x24
[BP REMADE] 000ebe38.tga | original: 248x42 | ceil_p^2: 256x64 | hdc/mc: 496x84
[BP REMADE] 000f0073.tga | original: 296x12 | ceil_p^2: 512x16 | hdc/mc: 592x24
[BP REMADE] 00100d1b.tga | original: 128x32 | ceil_p^2: 128x32 | hdc/mc: 512x32
[BP REMADE] 001087b3.tga | original: 32x8 | ceil_p^2: 32x8 | hdc/mc: 64x16
