texture_name,stage,tri_strcode,texture_strcode
000fe672,n_title,ac396b,0fe672
000fe6f2,n_title,ac396b,0fe6f2
000fe772,n_title,ac396b,0fe772
0014b79b,mselect,646870,14b79b
0014c79b,mselect,646870,14c79b
002db10a,n_title,54bef9,2db10a
002ee672,n_title,ac396b,2ee672
002ee6f2,n_title,ac396b,2ee6f2
002ee772,n_title,ac396b,2ee772
00304bad,mselect,fa6609,304bad
00470ccd,n_title,ac396b,470ccd
00470d4d,n_title,ac396b,470d4d
00470dcd,n_title,ac396b,470dcd
004827bc,w00a,202085,4827bc
0048283c,w00a,202085,48283c
004828bc,w00a,202085,4828bc
0048293c,w00a,202085,48293c
004829bc,w00a,202085,4829bc
00482abc,a43a,202085,482abc
00482b3c,a43a,202085,482b3c
004836bc,a43a,202085,4836bc
0048373c,a43a,202085,48373c
004cb10a,n_title,54bf18,4cb10a
0051a133,n_title,37c94f,51a133
0051b133,n_title,37c94f,51b133
00750ccd,n_title,ac396b,750ccd
00750d4d,n_title,ac396b,750d4d
00750dcd,n_title,ac396b,750dcd
007627bc,w00a,202085,7627bc
0076283c,w00a,202085,76283c
007628bc,w00a,202085,7628bc
0076293c,w00a,202085,76293c
007629bc,w00a,202085,7629bc
00762abc,a43a,202085,762abc
00762b3c,a43a,202085,762b3c
007636bc,a43a,202085,7636bc
0076373c,a43a,202085,76373c
00814bac,mselect,fa6609,814bac
0090e672,n_title,ac396b,90e672
0090e772,n_title,ac396b,90e772
00940ccd,n_title,ac396b,940ccd
00940d4d,n_title,ac396b,940d4d
00940dcd,n_title,ac396b,940dcd
009527bc,w00a,202085,9527bc
0095283c,w00a,202085,95283c
009528bc,w00a,202085,9528bc
0095293c,w00a,202085,95293c
009529bc,w00a,202085,9529bc
00952abc,a43a,202085,952abc
00952b3c,a43a,202085,952b3c
009536bc,a43a,202085,9536bc
0095373c,a43a,202085,95373c
0096b7c2,mselect,37a0f5,96b7c2
0096c7c2,mselect,37a0f5,96c7c2
00a69783,n_title,14de14,a69783
00aeb10a,n_title,54bf7a,aeb10a
00af4bac,mselect,a6cb3c,af4bac
00ce4bac,mselect,a6977c,ce4bac
00d5b792,mselect,377134,d5b792
00d5c792,mselect,377134,d5c792
00d6b78e,mselect,376d35,d6b78e
00d6c78e,mselect,646870,d6c78e
00e1e671,n_title,ac396b,e1e671
00e1e6f1,n_title,ac396b,e1e6f1
00e1e771,n_title,ac396b,e1e771
00ec6105,a00a,fc06e8,ec6105
00ec6151,a00a,fc06e8,ec6151
00ec628d,a00a,fc06e8,ec628d
00ec677d,a00a,fc06e8,ec677d
00ed6105,a00a,fc06e8,ed6105
00ed6151,a00a,fc06e8,ed6151
00ed628d,a00a,fc06e8,ed628d
00ed677d,a00a,fc06e8,ed677d
00f60ccd,n_title,ac396b,f60ccd
00f60dcd,n_title,ac396b,f60dcd
00f727bc,w00a,202085,f727bc
00f7283c,w00a,202085,f7283c
00f728bc,w00a,202085,f728bc
00f7293c,w00a,202085,f7293c
00f729bc,w00a,202085,f729bc
00f72abc,a43a,202085,f72abc
00f72b3c,a43a,202085,f72b3c
00f736bc,a43a,202085,f736bc
00f7373c,a43a,202085,f7373c
00ffb109,n_title,54becb,ffb109
