texture_name,tri_dumped_tga_sha1,tri_dumped_width,tri_dumped_height,tri_dumped_width_pow2,tri_dumped_height_pow2,tri_dumped_png_converted_sha1
00002016,9ac8913c33f5fc9ac084e7c3b386a519c3e00c8b,72,32,128,32,5fd670c6d97c3d87e307522f0337ce83744d44d4
00004ad1,8197abbbac5198d23a2b4e1b0d1eed7254f64188,24,24,32,32,7ea09e598918973c71a39e3b260b5f4cde312a5e
000062b9,597119ec4c14108bbe8fc0432293fe9ed16cc95c,32,32,32,32,2e5148108312e31d43b9d034c53984909b15322d
00006739,4bb27acdc8127feb887f97fb415e2e8493443e40,32,32,32,32,22e0464927d7cce64103d29d2d15ffef22014e64
0000c4dd,10643a0bd37345b51f4c423b99c82071b83dcaa6,100,12,128,16,b086c7eb68fd82ccb8f67dc63ad3eb91443d162b
0000c4dd_d0bf2476e36b7e6db64e892154845abf,d29c49a611af3ef4b88bc1d0455c3932fd2ed131,96,12,128,16,c3e68e7776fd3c548299ed1dc285f3e9eb3678ef
0000f06e,17024e4a8b9253b037aab4d3ac8334ff44e02013,228,12,256,16,de0655de816cf602a7bb8c7990ea9e2b28d89ee0
00012016,630f7a6c313db32d0416228b1164dd06bf4d050b,72,32,128,32,cf382aefe1c42776529d5c84ae89d27a03601cf8
00022016,1b2ef19aa6c9c05d9d695601b3a1835e940a1ac4,72,32,128,32,40a9a87df767ec1e3cf8a7e34bd94958460641ba
00024ad1,0b0219caf2b5001636ddd389c5e18614e7b45821,24,24,32,32,345769608daaf688d3cfee2df0ac12eb694d2e24
0002936b,08338867664fa2a545f783f1db8d789d7cf9b85b,128,16,128,16,402db28faee65b71b691fca0b37465f1c30322e4
0002cca2,b737de1920828f34ccd38fc26b9f186a11bc9f85,108,24,128,32,ce62ff34ddef3efc00b75c386f450b76a391162c
00032016,172189cbd3daa8a56d25e17299d67cd06c81ad40,72,32,128,32,735de49ea0f02e4da2eefc9d549cfffb6719b318
000382c8,de0f950435e07fd3e9f12487120f6b162ae96f17,112,10,128,16,d9e08757018c5a27d02e3b4109bef614a1b02a1e
000385a3,522e45bcc8c684558706e5dede842b04b4b5e4dd,448,12,512,16,693be16e9d5ae72c59b1f3132a5c7e37aec6a9e6
0003c3de,59fb64e389482c058d6d48fb432a913593d31093,14,12,16,16,592841db4086094b604d6c08ca2f90811c704063
0003c3de_59747dd0818a4f3d78cd7938115b9093,7e7774ef5e0a31ba6492fe06f22bbc12aed27858,16,12,16,16,d5eb4b7815e704659a82c9e8d69c91a5066259e7
00042016,63bd0cea95107b41a6e86167749e7f924c08b883,72,32,128,32,ccf0535bb2e4cb13206ef010e2dc2949bacefce1
000430f2,9291ddb94b073e02082ab30f1ddc6267c970244e,72,48,128,64,e6a9d90fa473637f9f373782e41c99a74c0b6ab8
00052016,f9bae6a97a4e3859549f395245df3612ca963587,72,32,128,32,624e91cdf6b40cd1ba09a9647a4addc945bd0c67
00058f79,b9694cd7a933bc7b4f5c91962c421f05cfa7683d,300,170,512,256,6e795adefdb848e968e3ac1ae9230d6d96a4aa9c
00062016,87ef2705b2a8290a1a05a71c4b198d21ba9d48f3,72,32,128,32,e4e96386c023113e8faf6e8c22ddba1f70bb6123
00065bbe,3580e454f283e80f99f3f613e26bd922ee21ef35,228,12,256,16,5cb6ecc1b0d20f94d5a817da121d44eae90227ae
00068f79,c1265e4c81d49e28472e4efc83cc079287ce98b3,224,174,256,256,887baa63bdc95e477eb1d600c79bf1aa959904a9
00072016,532f4765fdcde198c38933410010e6471ac91967,72,32,128,32,102e02116aec10313ceef75ee8b79a9fe8e88399
00075bbe,a689113aa03022bfe97b717431928dfc4191d12a,190,12,256,16,097c3b1323c31070df37ac5a7c56e8afe78ef02d
00078f79,ec2536b0c8e479106febedec1b481fb2a0f6335b,242,158,256,256,05553e66fe72cfb0095828866005d83c72fec9c4
0007bc34,3765dd670c7b56f28afc713feb2a256e1a183974,440,110,512,128,9f30d492e4e9faf7cd0c3633796397798f6d2c4e
00082016,81b7ff3af8e7f7284dd67468faf75c06cd6fafbf,72,32,128,32,664d61b35ed6ba539e95b9b1404d1c1c9f565809
00085bbe,fc4ab538d89344fd10cff8e4512638b98709b4b5,220,12,256,16,8c1bd1e5b31349a341d31df31a1ac4be5f3ea956
00085d1e,8308651238758a59be6fb515b515ac1aa66286f6,56,12,64,16,244e99924c7f184a61372b948cf1abbc27e0c348
000897ee,ed6bcbfaeeb8352636388283bfc66cf160f329ed,512,384,512,512,e9eccb9d5fe049b56c0505349d97002102e70843
0008bc34,dd96f1144076fbfba40e67c8e87e8b1ac318d0d7,308,12,512,16,57f90e7a33b920ac8f778125dcd5ea2b9d6582fa
00096be0,2ba3bda1462ba772b62c6dd1ba1adae243461e36,296,12,512,16,34b11f2401defaf159d6a983f99870cca8576608
0009bc34,a49ba29f95fac336a83a99cb3a11ffc4ede59a08,454,14,512,16,c68cd2b9ee0a8f85984570a53f2c1a284660228d
0009eb6f,f5beff15c3debb96da5b7d620deaf401e4865574,112,10,128,16,c7e0e1e170519bdd9752ff2d56e5ff1c2127a0a7
0009f56f,34d58b9c47f923cc7ecec901848ad3f71cff9fe5,352,108,512,128,f9e3ff551af2cc49ba1340b8a3f9f3344dcd98a6
0009f66f,2c6b527a1cc3d463bcbded98f574ff9cfdb90a60,48,16,64,16,7a4d4765c2482be0ba9efc7cee6ef161b4b1324a
000a8fc0,6c69e6c4930abf9b44f580afaca4d4c57977352f,176,156,256,256,bb718059f4ca40d8c1d3c0aa1e5d6c2e46734fe2
000aa7de,60bc6eae368947ce4aabc31f651160f6c62d8cff,176,32,256,32,96b11a8f2e642f179d64e842ee9b438486c1d326
000b7011,e2f7a073debcd806b3c99ae13a51d507bb80b3a9,228,12,256,16,366ef3eec6614981801e312093ba1cc0cd26c5c8
000c59bf,9d913b4f602c05cfc9664d6331a7f08dd7ec0c16,100,48,128,64,bd9326bbcfe764228c69ebd1b901e27ecabf9602
000cc716,c0c9fd0728d08e76b64eeda0be9088fcddf8e13a,132,12,256,16,3030c254d447f730007957c68655e66478cbb6f1
000ccd6b,b1e2b2c8d9e1efe468344b900c87ee92316b01e5,396,12,512,16,a300bc507439c0baed63c69b48c048204f81747e
000e1a61,732c3bbc0a62f6bb36285f1b70e5d06bdd71b49d,296,12,512,16,ad12c246c97c04dcd35a2a0f0b95ceef322b0182
000ebe38,a8c08e2eba7c70bb7e71f63b43a5bb6056967ac2,248,42,256,64,b94378a9419d762a69b534033c912e2cb3fceb90
000f0073,e3a2ddd1b8eb69753d338cf50e1076be8c8d69d5,296,12,512,16,64d0fec990058659342244f30fb4d3d214f92da3
00100d1b,661bca7f29f88a7f3ba8736a5d184025ed3e9aa3,128,32,128,32,353367fc8b93498d93671910ebd888697e37d042
001087b3,d0934bcf6b89f37f39ec58ae2bf3209d6332523e,32,8,32,8,b07ae41b737cc0872ca777d601ad80f45df32421
0010e123,d8adc571018288621bf7fada52dfd9f2d1528512,124,12,128,16,bf4accc7ecac5979ebeaba83464946f483c0c1dd
001187b3,ee20ac083736a6b573d59ce59f4e0985b5a7c508,10,8,16,8,b8c3e67c3e0d7059005ac15fab8f0fdf2766ab64
0012e9ed,004788e3ae37a8c7977c16d5c0b1f14021fbc65e,128,12,128,16,0523dccc9b25b9d3cf6be469a508536e08ce5333
0013486e,6160a3365e193621113d5de3a71f759b1532fd8a,296,12,512,16,b76188609a9ab537ab4e33532f9da54822f2de9a
0013547f,00aa3a133e464f805b6225d2a556a9c0a221520a,204,12,256,16,ff02a0b3ded777d46fdbb091c6d03d32f76bbd2b
0014547f,97f179643c0ef8bb98fded482c2841d123ae05b5,204,12,256,16,961fdcf8b5b4a0874b26c53063d7fa44105252dc
001463f1,623d16aecf43ea51d34744cbeb2fbe2f1e0de4ec,360,8,512,8,3f3c115616c259361690f5b4b6864f8a97401a42
0015547f,e17bfc314ed8f8e4628158d996a3f1c8a139f564,204,12,256,16,aa05db19b0dd4aaea8ff29452c98176135117e37
00158927,0c8cd9aa1b668281cad084d6dccc478fc5ccc4e9,296,12,512,16,e31f4fe74029195d192e6efb565c881d89808e93
0015d707,1c7b08c2128e2cbc5855f3b57239239f27871ecc,368,42,512,64,dff8c6f96d52010e4b0c507de976fc93dd949533
0015d707_cd82fa959c0f81d19f22c0b0fdf8d230,bbcd24855dd6b37302edc9ba909b4a1f009192ec,368,42,512,64,dfc458593f25c4d285d3d00116fc2f24e67d661b
0016852b,6729d594ffe73d00b8348264a47d7725f6b4ecf5,40,16,64,16,f0e8c672fe8138f32d505a5b4b7e73bc882033fb
0016bbf5,275d9a2f7b51202e2fff4169af45a1253fa6f30c,108,24,128,32,19984e84964a5b4f618a1e40d9fc54aaffa99b78
0016cb7f,657cf74db32bc8d04b9bce5339b5f24b26b1b115,256,256,256,256,6802d9b51b948a2a1a26d3e021bd1fd501b8845e
0017bbf5,04310113e0446f986e9913edeb7da603d5d898c7,36,72,64,128,6de6113750464559da1bf92c54ce64356b17bbb5
00180189,9e2ccfd08d14c92ceac38ab13d8cd337b5e8eb47,32,32,32,32,5c2c0ad8a9b3ae13fc55a1e47eba6f079ce3db93
001a8739,9ded5a48e65c1f561c39ee1b3a3d4cb77fc4c992,156,60,256,64,aca4bc4cccc5f3e859ac82b916a900520a571ce5
001a8739_9b95ed97d41ce0c9da24766f77e0bf35,2e89dc4a466649d3678c3e5899b02ba0469cc4be,156,60,256,64,b099b6149b6edb45d2610c22efbd3679e19c604e
001bb358,072c0977b3338caa63b0ac96195bb97d214ce20e,282,16,512,16,e262e5fbc2ffd96cf2f4b1f6870b89daa122727a
001cd071,0db9c98be53d4a9b7d7fa091ca705e66cc41c5a7,18,16,32,16,25bebda1e98b05b912241bdbec287380debe6897
001f2016,9f17180918236ccc9a11f417d5d9bafb71ab42e8,72,32,128,32,38cb82ff46c9afed332dd90a902a1e6401d9c852
00202016,8c0839f775bd7420f699de530a183716b4e0c49f,72,32,128,32,44468a4ae566abb287abcbe5f1e1f19f5ef4171c
00207af5,c7776cff1e362fe1ad4834b950c7c3fc13efb31a,148,16,256,16,71b327b8fded18f06866328cc9f72e959e28935f
0020c7c1,fb51441ff71c121a2c8e3070a8d66e51b77ac096,158,12,256,16,2647e6ab3448277ff67af4b3406e50ac33e34295
0020e3c2,3d2daed661e33315c40f4474dc20d6247193dcfd,96,12,128,16,5337725e2c5492e129314ef386f996b669a3b542
0020fb52,926d72d71ede76bf0c1839801b3c6902534d31c9,216,12,256,16,b14eccb5c7b8494ee2a17fbbe2ad68000a8f38c5
00212016,d8a2287ab20e6478c790674789cd3e0c7383935f,72,32,128,32,53c5275ae71313283b1471df34008118e4dca5d0
0021e3c2,e634077d7415a2dad213afab57e12c0ca1083f5e,96,12,128,16,26973733bd712f86e9638e81455dfa60c3e5f9cd
00222016,fb01ccd41c47439601a2fbfb3bfa1f49532a0db4,72,32,128,32,b22a0a32454e4fe57ee6d939b4d56cc5a362ab38
0022e3c2,1e4465087966e178027fc7dae8368ce300a11b5b,96,12,128,16,6442eed1e1007fc36db2db6a6626718ef677cb3f
00232016,c31893ea28d2ebb286c256c35200bc4319eaee62,72,32,128,32,aa6cb181b5134f3e38f2fdd6157dcf4d995aef34
00232162,2877223d96e25271f6bc1e16d4c9fedab7fa2de7,144,96,256,128,373f52c7ea7bc67a36ee01216399c49066ccd678
