0009bc34_b930b4499997afc4e26e408ea169f9c7 | missing from both CSVs
000fe672 | missing from PS2 CSV
000fe6f2 | missing from PS2 CSV
000fe772 | missing from PS2 CSV
002db10a | missing from PS2 CSV
002ee672 | missing from PS2 CSV
002ee6f2 | missing from PS2 CSV
002ee772 | missing from PS2 CSV
00304bad | missing from PS2 CSV
00470ccd | missing from PS2 CSV
00470d4d | missing from PS2 CSV
00470dcd | missing from PS2 CSV
004cb10a | missing from PS2 CSV
00750ccd | missing from PS2 CSV
00750d4d | missing from PS2 CSV
00750dcd | missing from PS2 CSV
0076fe1a | missing from both CSVs
0077fe1a | missing from both CSVs
00814bac | missing from PS2 CSV
0090e672 | missing from PS2 CSV
0090e772 | missing from PS2 CSV
00940ccd | missing from PS2 CSV
00940d4d | missing from PS2 CSV
00940dcd | missing from PS2 CSV
00a12eaf | missing from both CSVs
00aeb10a | missing from PS2 CSV
00af4bac | missing from PS2 CSV
00c12eaf | missing from both CSVs
00ce4bac | missing from PS2 CSV
00e1e671 | missing from PS2 CSV
00e1e6f1 | missing from PS2 CSV
00e1e771 | missing from PS2 CSV
00f60ccd | missing from PS2 CSV
00f60dcd | missing from PS2 CSV
00f65e24 | missing from both CSVs
00fb5e0d_a4c6847d4b922f6cd44f7d23a8727f2c | missing from both CSVs
00ffb109 | missing from PS2 CSV
act_telop02_jp_alp_ovl.bmp | missing from both CSVs
act_telop03_jp_alp_ovl.bmp | missing from both CSVs
act_telop04_jp_alp_ovl.bmp | missing from both CSVs
act_telop05_jp_alp_ovl.bmp | missing from both CSVs
act_telop06_jp_alp_ovl.bmp | missing from both CSVs
act_telop08_jp_alp_ovl.bmp | missing from both CSVs
act_telop09_jp_alp_ovl.bmp | missing from both CSVs
act_telop10_jp_alp_ovl.bmp | missing from both CSVs
act_telop11_jp_alp_ovl.bmp | missing from both CSVs
act_telop5_alp_ovl.bmp | missing from both CSVs
fiction_j_alp_ovl.bmp | missing from both CSVs
loading | missing from both CSVs
loading_4k | missing from both CSVs
loading_fhd | missing from both CSVs
loading_jp | missing from both CSVs
loading_jp_4k | missing from both CSVs
loading_jp_fhd | missing from both CSVs
loading_jp_wqhd | missing from both CSVs
loading_wqhd | missing from both CSVs
logo_konami.bmp | missing from both CSVs
pkg1_eng_alp_ovl.bmp | missing from both CSVs
pkg2_eng_alp_ovl.bmp | missing from both CSVs
sce_cesa_attention.bmp | missing from both CSVs
