texture_name,tri_dumped_tga_crc32,original_width,original_height,width_pow2,height_pow2,tri_png_converted_crc32,tri_alpha_stripped_crc32,pcsx2_dumped_crc32,pcxs2_normalized_png_crc32,pcsx2_alpha_stripped_crc32
0002936b,3c2c8943,128,16,128,16,5d6d8df2,d0a3d3a4,7d788e18,5d6d8df2,d0a3d3a4
0003c3de,0de693b2,14,12,16,16,be31c99a,a689e95d,00554de1,a396bcb6,a689e95d
00058f79,3a558362,300,170,512,256,c9e40310,ec1566d3,7ed36d6d,e4b2289d,ec1566d3
00068f79,10e0a282,224,174,256,256,da4cdd56,8027183d,5fd74274,affe4bc2,8027183d
00075bbe,bc71be22,190,12,256,16,67cf0e05,dac9014c,68785723,5e859df8,dac9014c
00078f79,ed3a45bc,242,158,256,256,4e215e8c,e1f6d825,675e5823,7c3ded66,e1f6d825
0007bc34,8ada7469,440,110,512,128,5adb1150,274837f5,971caced,df042126,274837f5
00085bbe,011b58fc,220,12,256,16,f7ee9fb4,db69a1a6,681ba040,a7af12f0,db69a1a6
0008bc34,0f86b2c3,308,12,512,16,ce831c00,62b88972,512fe0d6,0b98a03f,62b88972
0009f56f,e6abb1f3,352,108,512,128,8910b12c,235bbad4,67054b2a,3da4937d,235bbad4
000aa7de,56eea4bb,176,32,256,32,7c69f02f,bfa76639,8b49c4ef,29f57831,bfa76639
000ebe38,3ad8de13,248,42,256,64,0ee80dfe,00000000,4a21d2b6,0ee80dfe,00000000
0010e123,a2f216f7,124,12,128,16,0a797430,0ea20cc0,0da554d4,93e9b95f,0ea20cc0
001187b3,f4ddb8cc,10,8,16,8,5f742ad7,377b664e,d738e6dd,a300a665,377b664e
001463f1,d7c6a466,360,8,512,8,ff60e823,82bb3f98,57bd5c2c,8219e898,82bb3f98
0017bbf5,b17bde73,36,72,64,128,652d60e5,6a91a97a,7a0c7567,761ba119,6a91a97a
002e7de0,2c01c2b8,48,32,64,32,16523662,7e11d3c2,0e554065,59715f67,7e11d3c2
00367807,c2232b23,8,88,8,128,eea819c2,993a47b8,ee2ebe89,85711901,993a47b8
0036ea81,6771efbe,164,32,256,32,b8ec778a,71be7e60,bddff784,00908044,71be7e60
00380922,1a58cd43,312,196,512,256,794557cf,de980974,624d97f2,9f849a59,de980974
003c8502,28528fdb,32,18,32,32,5fb9dfd4,9a5e4ea9,0be721d4,b12c9aaa,9a5e4ea9
003d8502,a8a141a5,26,20,32,32,018c7a01,40f09d3f,a9fcd9a7,1cbee821,40f09d3f
003e8502,35ea6a58,30,18,32,32,3040b69f,0eb092ee,c0ac84c7,a818fbcc,0eb092ee
003e9364,ae66170f,144,12,256,16,518ca26f,e45c97d9,c1b7200e,efefc642,e45c97d9
003f0404,9721c034,256,256,256,256,3909e31b,00000000,9553cb6d,3909e31b,64ec315a
003f8502,e44384f2,56,16,64,16,2baabc07,3fa16d8a,01b71e66,1ab1a021,3fa16d8a
00408502,3bf21c38,18,10,32,16,057f3406,ac0951cc,a2820a53,0840aa7e,ac0951cc
0040cd15,dcc2a1cc,130,24,256,32,e8452b06,134ca085,b734860c,5a2408f9,134ca085
00418502,d4e07a4c,76,12,128,16,15e6e098,fd6b2e53,d5966ed9,084ae3a9,fd6b2e53
00428502,d14ad79b,70,8,128,8,d2c8cfa4,afe99a4e,3c3caf9a,5506f282,afe99a4e
00459114,5d6880c4,48,36,64,64,b886caae,97c2616e,297f5d28,b886caae,97c2616e
00469114,09edae9a,48,36,64,64,423c38ee,a0310b44,dd7a1c8c,423c38ee,a0310b44
00479114,05090e92,48,36,64,64,dbe876e8,057807c6,f1346214,dbe876e8,057807c6
00481d9d,999a4e50,138,12,256,16,b0afabb3,cf28fc8f,303fc405,c92ab9a9,cf28fc8f
00491714,a651a774,228,132,256,256,f7163213,aa47ea18,c7b1b92d,6361be09,aa47ea18
004acd8a,f371725c,268,10,512,16,bf12fc14,3915b834,f0ad64c9,c763b907,3915b834
004b2a01,7bc5e28c,256,256,256,256,2039c3ea,7c3afb9e,c01a2e5b,0e566992,7c3afb9e
005155d8,911aa71b,64,64,64,64,2367a730,e5aa89f9,7366945f,f0bb9b17,e5aa89f9
005255d8,810f4241,64,64,64,64,da51b2c4,9d9ec263,c255986b,dee175b1,9d9ec263
005355d8,448f67ce,64,64,64,64,575e01f5,40f03819,e2a0bd38,b9719208,40f03819
